Iteration,Distance
25,747164.9937006717
25,779025.6785727195
25,765607.0547909952
25,785140.3075472519
25,758594.6169354869
25,747776.9382985224
25,765869.0209097066
25,752902.1041580667
25,747244.4113417608
25,798359.9558480562
25,736824.8637242628
25,763943.9594786881
25,757074.0346417981
25,769343.3847980128
25,754332.5760406584
25,789425.4759939836
25,761123.2592061467
25,784010.5655050817
25,760995.4590284217
25,759687.9182869361
25,748675.4024903578
25,732492.6447961727
25,767957.1308479347
25,765289.5735826085
25,764917.1944766872
25,767378.887611994
25,763757.9182936816
25,754819.7542550996
25,744278.7017084212
25,744429.1859084043
25,779447.3911009269
25,728115.035243644
25,760390.2157797861
25,773693.3254584556
25,758835.9892750654
25,750790.5638588333
25,753738.3828209218
25,754621.5523717362
25,762420.3814239776
25,767042.8413704596
25,758009.876169245
25,721525.4826874714
25,745158.1061109701
25,716425.5059925587
25,756186.3035560802
25,760478.523736653
25,739902.4572488704
25,747738.8066055551
25,769556.9328901995
25,751075.5070723797
50,736897.9310770332
50,766296.029215657
50,746433.6148766568
50,774256.1508839214
50,742622.3861697557
50,735533.77467396
50,758475.3159515795
50,740915.0954433221
50,734029.3762999936
50,788225.6213404228
50,728068.417198928
50,752191.4709949921
50,743257.4205820046
50,759726.7759193887
50,745576.7180303335
50,772890.8124712817
50,747255.6030451439
50,767815.3784950151
50,752025.6505119201
50,739930.1556298117
50,732079.8616101026
50,724717.3068815904
50,760150.0389373319
50,752095.0619362426
50,747100.0552428326
50,759177.6642339925
50,755491.1932419091
50,735833.2963932363
50,728490.2546630405
50,738047.410649221
50,759000.5553655173
50,721410.0127737585
50,744285.2288053316
50,755163.7128383818
50,754208.9523489746
50,738586.5527277688
50,740688.5773204296
50,740974.4588521481
50,751737.0983460062
50,743518.3919940185
50,745293.3645342577
50,702318.0923022236
50,737944.6534020656
50,708832.2662146005
50,743119.3144651671
50,750987.2720694698
50,726135.1275372569
50,734618.1780635804
50,761056.8659416592
50,740217.6710632314
75,726039.0959389403
75,748023.9667910687
75,729219.0683901702
75,762408.499716272
75,721871.1771318108
75,726611.4974932825
75,745390.3231629675
75,731998.655535949
75,721236.09231235
75,772838.4101809197
75,716415.6558477166
75,746689.2660875481
75,726336.3441057149
75,743794.8345492429
75,734986.6389979501
75,764599.5330155613
75,735095.6786199132
75,757075.5334082019
75,744836.0927495947
75,716369.4318907481
75,724539.6576422536
75,717574.187584195
75,747442.336867283
75,739814.5389011144
75,742536.2469822093
75,738339.8016240192
75,734229.0490832682
75,716853.191719528
75,720164.8352466524
75,727802.8267479119
75,749645.0941335456
75,713604.6381765538
75,730666.6748853399
75,743138.3178476675
75,741982.1904410826
75,719802.8251021765
75,733252.718631469
75,733287.3472023791
75,735139.0844398923
75,729469.748755909
75,738061.7820997456
75,695929.5340270658
75,727690.890383119
75,704484.3508525598
75,734885.2708813519
75,737642.2503748204
75,720826.8263352301
75,724708.5973691121
75,749907.2115025327
75,724394.1125631661
100,721370.9000245514
100,738386.3516823741
100,707496.1764284339
100,748685.1813712564
100,707814.6416779589
100,719410.2190446005
100,727898.8637218615
100,722945.7918810311
100,709718.582725284
100,759293.1189925863
100,709034.5545706337
100,727146.2638696101
100,712978.5414726407
100,731293.6560432112
100,722328.2823204055
100,746823.5374286672
100,726527.7733587094
100,747813.412463582
100,724675.8157264822
100,704735.7282010234
100,714825.2056231188
100,698815.1681312637
100,734051.5322006142
100,728807.1044530517
100,737196.7867138885
100,727753.6386958824
100,720438.4754154411
100,705622.6870198743
100,710485.662283773
100,720588.6000613286
100,740805.561183483
100,706765.6540822365
100,721583.4499414598
100,736286.8173288743
100,729194.6782578555
100,708352.6698811753
100,724505.9735092453
100,723042.5534650651
100,723104.9612655407
100,723026.6961107352
100,720386.8653606218
100,691323.4889847325
100,716231.5262082778
100,692475.6605540272
100,727973.4619600826
100,727501.9197321634
100,703349.2606878525
100,706945.896705452
100,734442.1849748611
100,711347.1053591515
125,709341.5965855228
125,731188.2131588039
125,697061.3944023452
125,742451.5735690396
125,696967.4746801864
125,709256.6420350116
125,717725.167741201
125,712379.7270157139
125,696766.3085897064
125,751779.3899693907
125,696973.6034671387
125,720456.5377791275
125,701405.2023097251
125,713162.2334537117
125,711411.4226201597
125,733365.350241465
125,709469.6741431105
125,739220.2652898293
125,715170.2021391062
125,689258.3650583763
125,703478.9842285822
125,689121.7407661946
125,719235.769346557
125,719621.3035879
125,727943.8110665594
125,715250.6172110522
125,714318.1135051379
125,698617.4095131913
125,700276.5224056343
125,708579.3166123845
125,729042.2773087458
125,696877.4816757226
125,707141.6593808059
125,724024.0128336551
125,715133.4705319684
125,700733.7834055963
125,711608.660564767
125,711307.4294341601
125,716213.9710760427
125,710729.0700845501
125,706885.6913035797
125,684150.6913965569
125,709976.2046759626
125,685459.0101868464
125,715987.5015253224
125,714876.2873515914
125,693466.2302635731
125,695170.0705092305
125,720982.794761805
125,698497.7774410074
150,697446.3560956657
150,717853.9753422631
150,688880.9527063838
150,730624.5074456969
150,690252.8453972186
150,697643.690269368
150,707216.717366376
150,706231.4805588552
150,680276.7861064139
150,738264.1767511374
150,686703.3350253423
150,712642.3256914074
150,696324.5604050684
150,710212.7288219257
150,705340.300769211
150,721304.2229996932
150,704415.7393895638
150,727373.783385076
150,703467.1582014817
150,683782.6856058476
150,685137.4429876059
150,681716.9147455283
150,715834.5536363436
150,710667.6146619864
150,718706.0795382148
150,709235.3011266574
150,705889.5374975166
150,690972.9323906959
150,686467.9015857929
150,699345.9561477405
150,713739.491151225
150,683265.5537497896
150,698507.4321966427
150,709903.7294495102
150,702587.5044846997
150,692515.4671946379
150,689420.8178852695
150,703749.7982677541
150,700714.8414006622
150,700335.6189586039
150,693630.4770987337
150,679880.6923942611
150,694245.0842445465
150,675233.5855083293
150,704179.8159424952
150,709815.9785559477
150,684053.2709271902
150,686667.330838768
150,704402.6443290361
150,685526.4226717366
175,683162.3230543887
175,709782.8933139079
175,683250.4819056739
175,724054.2220145505
175,681596.1695214171
175,691245.8945485714
175,696752.1622781755
175,697605.2586999559
175,669068.5385199075
175,720784.7026837374
175,678463.6283387009
175,702702.8299387338
175,690368.7755290659
175,700676.6316667625
175,695491.7125250931
175,707467.9640451464
175,697647.6677388404
175,709942.034217457
175,693725.3738670724
175,675941.8420428915
175,671927.0580387912
175,668974.0370525785
175,706584.1917473743
175,701375.7048464038
175,711400.2368023708
175,698768.7490617214
175,701657.6173999205
175,680074.1637589425
175,679651.639875305
175,686432.4235108
175,700687.2938625248
175,667102.3180488159
175,694208.6031475095
175,703140.5014492525
175,687698.2753786512
175,679387.7621082215
175,676783.0300539504
175,695219.6366239806
175,685818.2283822825
175,692188.4784312611
175,681239.5715496663
175,670370.0389909678
175,682609.2664284504
175,662705.6615859276
175,694930.2643602419
175,701265.6087850413
175,663290.8858274336
175,678962.8435016484
175,700508.7092477435
175,668850.6967327822
200,671636.5403193444
200,704068.9814377431
200,670747.3515915653
200,708316.7894944579
200,668162.5473800962
200,684792.2371303249
200,686541.1024481333
200,689732.1193648404
200,655015.4927486987
200,713515.5029440152
200,663848.4677800837
200,698023.8413592834
200,680193.451349998
200,692692.42600214
200,680877.2922933492
200,699139.4447607982
200,675551.5310465877
200,700938.2621373729
200,684882.9193501846
200,669906.7957817321
200,668716.8584128924
200,660406.2593201476
200,695725.5558766607
200,684974.9450517684
200,706427.4852958886
200,690156.6068995972
200,691659.9506482889
200,672673.9719740751
200,674902.4411029582
200,675883.6510100858
200,690087.8692690842
200,652294.0451754547
200,685871.3463019792
200,701902.8885816844
200,682782.231860255
200,671168.77084636
200,667754.5888846996
200,693333.9406761129
200,677969.2888008476
200,684084.6029209414
200,673441.90914284
200,659405.06065555
200,676087.0840611694
200,657925.4381282417
200,678863.3979547771
200,697030.1058465017
200,651631.1505869229
200,667306.0847343893
200,688112.8039426788
200,662481.78692056
225,666080.7354458336
225,693115.9344855772
225,658369.6846788899
225,694548.5438700094
225,659381.5614340883
225,677890.8013350095
225,676468.4936871474
225,682901.7870327783
225,643620.1397008554
225,706523.1075872711
225,660396.5948105511
225,691323.1162123821
225,672641.5180958417
225,685310.9357627605
225,673924.7364125777
225,686210.0304422072
225,668528.3570477145
225,688859.1229833587
225,663659.423767901
225,661439.5670538533
225,660182.2225253682
225,652439.6805904047
225,683363.855169781
225,677688.2124773195
225,698669.6532443477
225,675939.145703124
225,685849.7370718108
225,667227.37614091
225,663819.1932544208
225,666505.071076662
225,676471.0108588522
225,646553.8413172365
225,677876.0743603667
225,688244.1661742802
225,672254.0969317709
225,659413.7260567953
225,658624.6039600015
225,684350.0915986014
225,672170.8733227418
225,670620.162581384
225,659712.2622266241
225,650897.9182207662
225,662610.3864884858
225,652219.2686565053
225,668738.1796523129
225,684013.7899982785
225,635474.4976907689
225,664205.713441651
225,683204.1903928452
225,652837.1754422642
250,658923.2342658364
250,685348.6810982088
250,651475.3883362653
250,692771.2357424396
250,650544.0210182259
250,670200.1169485695
250,671223.5326912969
250,675103.1505312807
250,638129.6514607291
250,698414.374377886
250,653303.1811186443
250,681655.9408466696
250,670042.2540955257
250,678610.085806705
250,663928.0919247338
250,683381.6087986318
250,656749.534646828
250,678253.3441976762
250,648093.8895580109
250,653873.6172175827
250,652403.3570161135
250,649633.8158353404
250,674592.5641630932
250,660082.5809856495
250,685908.2499581455
250,663391.1930167328
250,680222.0716127944
250,656273.7148425295
250,654325.7205196795
250,658507.6594042464
250,664735.9687495717
250,637463.9728304994
250,671073.9101011886
250,672583.9215553458
250,661919.4782635164
250,656881.8298940469
250,649715.9939823597
250,671623.2601086946
250,667230.6176319262
250,656830.4167559277
250,649410.3191315767
250,645152.923077793
250,653088.1501086358
250,646746.0325258602
250,660157.0240916915
250,678022.1985135869
250,626581.2441124707
250,657872.7283003534
250,672965.2431546075
250,638490.5363314532
275,651352.7986337
275,680976.525740749
275,640186.6921859357
275,689018.4376248815
275,646375.0836054211
275,660217.3928843067
275,656203.1682794376
275,663222.6690506156
275,629250.0659203926
275,689895.7473022438
275,642510.2442246211
275,669981.6811746103
275,664688.4060183298
275,677756.6211809256
275,658824.1361973053
275,670629.6557006633
275,652189.4211690814
275,669132.6190729177
275,638232.3845227467
275,643488.1341468146
275,644100.1048154135
275,643224.9889296817
275,668297.9585825268
275,649369.6880278387
275,671087.478062565
275,646812.3426178512
275,673296.688469465
275,648758.957245883
275,646292.217169353
275,652359.4186723091
275,651434.8871646074
275,631933.8640846345
275,664652.6750396335
275,662830.5182700397
275,652475.4667270993
275,645811.69280827
275,636720.5844662556
275,658990.6626662967
275,663178.3808155375
275,651456.6487701199
275,645744.5573737085
275,641129.2226467598
275,641599.7679845269
275,640564.2826424593
275,648374.4325101213
275,669549.9406175701
275,617305.4139181969
275,642757.9500071
275,669947.7664207307
275,628356.4773978645
300,640787.0695475347
300,668456.4927254019
300,636404.8359225573
300,680578.2504626432
