Iteration,Distance
25,692.417883324974
25,698.5204447770348
50,677.3012550079978
50,836.2880573223305
75,621.3414169950714
75,706.0153818419848
100,700.2560548552311
100,643.1339355664898
125,625.9408511406291
125,689.5261708868954
150,727.3661374316249
150,676.0703217078496
175,565.3339792592951
175,672.4849141919194
200,613.4419709193908
200,770.6374641574051
225,611.8753770689314
225,581.5293754764696
250,605.8109492609127
250,683.979168777
275,663.2318511843101
275,561.5153809149731
300,630.2500081888949
300,602.3605533411763
325,698.9402152272172
325,588.9456128594422
350,597.4053538449962
350,555.0261641516639
375,537.2307989672217
375,580.5509814449022
400,711.1249914441395
400,558.1962684888334
425,628.6481135827164
425,547.5415757443612
450,635.3458044384453
450,656.2412682559585
475,639.5274424852895
475,690.6778507869132
500,668.1470719740261
500,621.7000081113384
