Iteration,Distance
25,33013.03217074186
25,33569.74467194194
25,32874.01085540068
25,33366.09952817105
25,33429.43440795754
25,33039.18466135932
25,32721.953393768097
25,33894.39658243448
25,33686.62856143305
25,31517.744601365615
25,33560.074199006325
25,33466.43019893512
25,33473.88349286663
25,35129.718762752775
25,32701.213665050862
25,33586.468528264355
25,34405.39110871284
25,31811.84453152053
25,34304.09790636133
25,33727.71078657114
25,32305.60385590728
25,33421.34954350208
25,32915.01199507709
25,33497.89788124466
25,34253.2119290074
25,33383.89682973332
25,33062.18350435331
25,31090.421398628485
25,32203.710425788624
25,34032.22022328245
25,33664.3997482175
25,33016.67186034281
25,33169.728344935626
25,35078.62976241676
25,32589.66287771269
25,33074.159368372115
25,32772.86969215684
25,32735.591899008818
25,34628.38496873783
25,35113.74902957499
25,34159.526839877806
25,34207.1557634092
25,33341.978554082634
25,31419.878971123795
25,33961.20892017949
25,34167.0092858748
25,34000.30051540448
25,33296.10459807692
25,32678.89784719846
25,32843.82179129155
50,31979.71545635759
50,32941.83492352725
50,32098.764711436823
50,32399.498733982215
50,32421.820848665186
50,31824.372107959578
50,32213.922636229236
50,33016.866930602635
50,32770.13355300123
50,30596.44793437602
50,32860.85167893372
50,32105.329283806353
50,32161.047027163993
50,34113.57077732256
50,31554.071582121
50,32912.80297471829
50,33630.3186105912
50,30716.928316023575
50,33196.92789487166
50,32771.64990761762
50,31941.646218590322
50,32467.953911620145
50,32328.28450849806
50,32903.4690741783
50,33183.40616639229
50,32385.69273631471
50,30997.10458824558
50,30658.87368462504
50,31451.75043905399
50,32913.6352369369
50,32756.02663270248
50,32788.32822915393
50,32678.99725218755
50,33635.729595310586
50,32044.9900754516
50,31865.294917591298
50,32178.14398549975
50,31791.976851421186
50,33471.89053873488
50,34127.12509751972
50,33286.30549282398
50,33594.38979873763
50,32268.178761757572
50,30819.501651865343
50,33229.16186215573
50,33566.93785209116
50,33141.55987618414
50,32543.00868479579
50,31925.890120045995
50,32396.880484423884
75,30640.6148963286
75,31554.26459183349
75,30912.59638985416
75,31637.803519177985
75,31678.67980585294
75,31008.472695304838
75,31647.469505145058
75,32592.30146238975
75,31759.704860046444
75,29781.313253552104
75,32164.86899323564
75,31465.693628427252
75,31331.83259999598
75,33272.3842492457
75,30475.68705515481
75,32066.916304296086
75,32891.30538318512
75,30289.83852388301
75,32499.491414157845
75,32175.125171592746
75,31204.842248740675
75,31630.472780903936
75,31306.74970358313
75,31763.939616682263
75,32599.7338131984
75,31676.97572385116
75,30509.36970790013
75,29608.465619706276
75,30428.69100744491
75,31958.505632482567
75,31851.360180862233
75,32000.78906939098
75,32185.0472811573
75,32664.480957754495
75,30931.439078178657
75,31366.443037398563
75,31088.83041567984
75,30976.540176741095
75,32787.72061426769
75,33592.11823421848
75,32298.672605454234
75,32803.84294280766
75,31370.13406649412
75,29981.425362917038
75,32513.77163713775
75,32628.724696323592
75,32290.2135910868
